Epoch 1, Train Loss: 0.7070
Validation Loss: 0.4511, Accuracy: 0.8256
Epoch 2, Train Loss: 0.3550
Validation Loss: 0.3792, Accuracy: 0.8581
Epoch 3, Train Loss: 0.2402
Validation Loss: 0.3676, Accuracy: 0.8676
Epoch 4, Train Loss: 0.1752
Validation Loss: 0.3658, Accuracy: 0.8715
Epoch 5, Train Loss: 0.1377
Validation Loss: 0.4450, Accuracy: 0.8627
Epoch 6, Train Loss: 0.1145
Validation Loss: 0.4193, Accuracy: 0.8773
Epoch 7, Train Loss: 0.0962
Validation Loss: 0.5014, Accuracy: 0.8586
Epoch 8, Train Loss: 0.0812
Validation Loss: 0.4640, Accuracy: 0.8695
Epoch 9, Train Loss: 0.0656
Validation Loss: 0.5077, Accuracy: 0.8671
Epoch 10, Train Loss: 0.0559
Validation Loss: 0.5500, Accuracy: 0.8783
Epoch 11, Train Loss: 0.0514
Validation Loss: 0.5282, Accuracy: 0.8700
Epoch 12, Train Loss: 0.0436
Validation Loss: 0.7062, Accuracy: 0.8472
Epoch 13, Train Loss: 0.0400
Validation Loss: 0.5696, Accuracy: 0.8625
Epoch 14, Train Loss: 0.0372
Validation Loss: 0.6698, Accuracy: 0.8450
Epoch 15, Train Loss: 0.0332
Validation Loss: 0.5790, Accuracy: 0.8749
